X_id,Y_id,metric,mean_rel_change,std_rel_change,snr_a,total_time,D_baseline,rel_changes
cylinder_275,gaussian_mixture_288,Standard Sliced Wasserstein,0.01599989627177098,0.0,,7.648905515670776,2.6224198337566045,[0.0159999]
cylinder_275,gaussian_mixture_288,RISWIE-PCA,0.0013164646086954745,0.0,,0.6103084087371826,8.599635053655062,[0.00131646]
cylinder_25,swissroll_293,Standard Sliced Wasserstein,2.286304282034384,0.0,,6.932970285415649,0.017208537978730776,[2.28630428]
cylinder_25,swissroll_293,RISWIE-PCA,0.5016792860989889,0.0,,0.49707937240600586,0.09792864787618422,[0.50167929]
normal_39,swissroll_77,Standard Sliced Wasserstein,0.01087908563192382,0.0,,6.916679859161377,0.6505461462856278,[0.01087909]
normal_39,swissroll_77,RISWIE-PCA,0.006640988141994165,0.0,,0.46765637397766113,0.9691333366850059,[0.00664099]
banana_294,gaussian_mixture_297,Standard Sliced Wasserstein,0.00786027729570293,0.0,,7.313497304916382,4.957636497740207,[0.00786028]
banana_294,gaussian_mixture_297,RISWIE-PCA,0.0017239478997074173,0.0,,0.6237592697143555,17.3116098103276,[0.00172395]
swissroll_277,banana_191,Standard Sliced Wasserstein,0.07374753389756446,0.0,,6.99487829208374,0.0405420649903545,[0.07374753]
swissroll_277,banana_191,RISWIE-PCA,0.06073484238225142,0.0,,0.5609960556030273,0.2636021621740167,[0.06073484]
cylinder_263,gaussian_mixture_112,Standard Sliced Wasserstein,0.011337482137794334,0.0,,7.478302240371704,3.589714861937813,[0.01133748]
cylinder_263,gaussian_mixture_112,RISWIE-PCA,0.000836387689079686,0.0,,0.5678157806396484,11.965606759798103,[0.00083639]
normal_34,gaussian_mixture_253,Standard Sliced Wasserstein,0.004683319604938919,0.0,,7.365373849868774,1.0272305652169558,[0.00468332]
normal_34,gaussian_mixture_253,RISWIE-PCA,0.0008840796922699401,0.0,,0.5864052772521973,5.028714908558539,[0.00088408]
swissroll_141,torus_28,Standard Sliced Wasserstein,0.17338669859719152,0.0,,7.459924936294556,0.1992346723267183,[0.1733867]
swissroll_141,torus_28,RISWIE-PCA,0.005999252577460675,0.0,,0.40219783782958984,0.6974391990827007,[0.00599925]
banana_177,torus_245,Standard Sliced Wasserstein,0.2633876145395803,0.0,,6.897498369216919,0.13336006910409276,[0.26338761]
banana_177,torus_245,RISWIE-PCA,0.019366147160332383,0.0,,0.573427677154541,0.5324954184261101,[0.01936615]
banana_42,swissroll_144,Standard Sliced Wasserstein,0.7354107636945738,0.0,,7.3012449741363525,0.04427364033390123,[0.73541076]
banana_42,swissroll_144,RISWIE-PCA,0.0509816684897785,0.0,,0.5152781009674072,0.25295076529375904,[0.05098167]
normal_193,swissroll_132,Standard Sliced Wasserstein,0.0056250350152272375,0.0,,7.057497262954712,0.9096775436963397,[0.00562504]
normal_193,swissroll_132,RISWIE-PCA,0.00568438076387535,0.0,,0.4155280590057373,1.1494424218505925,[0.00568438]
cylinder_22,gaussian_mixture_68,Standard Sliced Wasserstein,0.011599876459457188,0.0,,7.059773206710815,3.9378204740532703,[0.01159988]
cylinder_22,gaussian_mixture_68,RISWIE-PCA,0.003827756094584399,0.0,,0.5356965065002441,13.527014315444276,[0.00382776]
swissroll_271,torus_232,Standard Sliced Wasserstein,0.20166737523156789,0.0,,7.165072202682495,0.15661390819720597,[0.20166738]
swissroll_271,torus_232,RISWIE-PCA,0.0036395283725348788,0.0,,0.49852895736694336,0.5515391858338318,[0.00363953]
gaussian_mixture_296,banana_64,Standard Sliced Wasserstein,0.0007096530289500405,0.0,,7.28081488609314,2.457115724498777,[0.00070965]
gaussian_mixture_296,banana_64,RISWIE-PCA,1.9814368506701943e-05,0.0,,0.5253310203552246,8.257343811610259,[1.98143685e-05]
cylinder_295,normal_159,Standard Sliced Wasserstein,0.05193575373208081,0.0,,6.936550140380859,0.9083091379918427,[0.05193575]
cylinder_295,normal_159,RISWIE-PCA,0.06240441755994734,0.0,,0.6129434108734131,1.1150530261056224,[0.06240442]
cylinder_165,gaussian_mixture_42,Standard Sliced Wasserstein,0.009943278606490672,0.0,,6.953829050064087,3.7710707436984134,[0.00994328]
cylinder_165,gaussian_mixture_42,RISWIE-PCA,0.0018481435494884873,0.0,,0.4430696964263916,12.84815486812164,[0.00184814]
normal_222,torus_111,Standard Sliced Wasserstein,0.013415676410121782,0.0,,6.979999542236328,0.5344054283341433,[0.01341568]
normal_222,torus_111,RISWIE-PCA,0.004253698341562152,0.0,,0.8038339614868164,0.9673434565352887,[0.0042537]
normal_85,cylinder_220,Standard Sliced Wasserstein,0.005855924456663523,0.0,,8.579354047775269,0.9117050305455509,[0.00585592]
normal_85,cylinder_220,RISWIE-PCA,0.005443696492007708,0.0,,0.7841813564300537,1.1187977476710937,[0.0054437]
swissroll_86,cylinder_159,Standard Sliced Wasserstein,1.9748662054666137,0.0,,8.61217737197876,0.017642758557827355,[1.97486621]
swissroll_86,cylinder_159,RISWIE-PCA,0.024368020645368412,0.0,,0.495713472366333,0.1023695503433799,[0.02436802]
normal_99,normal_254,Standard Sliced Wasserstein,0.020302681082861054,0.0,,7.234678506851196,0.2631892030442329,[0.02030268]
normal_99,normal_254,RISWIE-PCA,0.03412385933385328,0.0,,0.5987396240234375,0.19775553959280634,[0.03412386]
banana_68,normal_190,Standard Sliced Wasserstein,0.052648600167841036,0.0,,6.930882692337036,0.9080743886027028,[0.0526486]
banana_68,normal_190,RISWIE-PCA,0.06049082592734612,0.0,,0.5132288932800293,1.1502806396679923,[0.06049083]
torus_213,gaussian_mixture_187,Standard Sliced Wasserstein,0.011456594148438498,0.0,,7.291970729827881,2.3489240370046005,[0.01145659]
torus_213,gaussian_mixture_187,RISWIE-PCA,0.0026063831638006075,0.0,,0.6042313575744629,7.633811364982094,[0.00260638]
cylinder_60,torus_77,Standard Sliced Wasserstein,0.1800649864167311,0.0,,7.553803443908691,0.12252340383121488,[0.18006499]
cylinder_60,torus_77,RISWIE-PCA,0.006228423778248821,0.0,,0.5512838363647461,0.4618325375121956,[0.00622842]
cylinder_258,normal_153,Standard Sliced Wasserstein,0.069618089490928,0.0,,7.295977354049683,0.6444905027293362,[0.06961809]
cylinder_258,normal_153,RISWIE-PCA,0.07681449240408995,0.0,,0.5237102508544922,0.9202133531388601,[0.07681449]
torus_147,cylinder_15,Standard Sliced Wasserstein,0.36572395003312774,0.0,,7.364794731140137,0.07449157902475001,[0.36572395]
torus_147,cylinder_15,RISWIE-PCA,0.030497177070524545,0.0,,0.6559586524963379,0.29587755420993017,[0.03049718]
gaussian_mixture_213,gaussian_mixture_182,Standard Sliced Wasserstein,0.0004076794802434937,0.0,,6.811255931854248,2.382194047645644,[0.00040768]
gaussian_mixture_213,gaussian_mixture_182,RISWIE-PCA,0.0005762425112066114,0.0,,0.5714290142059326,4.319783023091887,[0.00057624]
cylinder_43,swissroll_194,Standard Sliced Wasserstein,2.721574600488256,0.0,,6.999286651611328,0.01593129771109455,[2.7215746]
cylinder_43,swissroll_194,RISWIE-PCA,0.7086196585838735,0.0,,0.6083855628967285,0.08011498378746565,[0.70861966]
swissroll_55,normal_272,Standard Sliced Wasserstein,0.053554094969097424,0.0,,7.044504404067993,0.9095588731375656,[0.05355409]
swissroll_55,normal_272,RISWIE-PCA,0.09734405429610599,0.0,,0.6896524429321289,1.154971296749326,[0.09734405]
swissroll_25,gaussian_mixture_225,Standard Sliced Wasserstein,0.01928485936757591,0.0,,7.205881595611572,2.4190666244044094,[0.01928486]
swissroll_25,gaussian_mixture_225,RISWIE-PCA,0.010213131293908875,0.0,,0.4950563907623291,7.822386485206981,[0.01021313]
gaussian_mixture_91,gaussian_mixture_238,Standard Sliced Wasserstein,0.0013820591933829266,0.0,,7.067811965942383,2.6272418729075158,[0.00138206]
gaussian_mixture_91,gaussian_mixture_238,RISWIE-PCA,0.00031116442218889686,0.0,,0.6828467845916748,12.268615355195259,[0.00031116]
banana_21,cylinder_14,Standard Sliced Wasserstein,0.8279826409148642,0.0,,7.0243659019470215,0.04311801543364551,[0.82798264]
banana_21,cylinder_14,RISWIE-PCA,0.04870335681628865,0.0,,0.48238348960876465,0.19392514899478674,[0.04870336]
torus_297,swissroll_130,Standard Sliced Wasserstein,0.28403693087283993,0.0,,7.025071620941162,0.09472117044016427,[0.28403693]
torus_297,swissroll_130,RISWIE-PCA,0.06416136084134459,0.0,,0.5391995906829834,0.3189929940860414,[0.06416136]
banana_278,swissroll_149,Standard Sliced Wasserstein,0.6309895859573881,0.0,,7.514862537384033,0.03550680142939098,[0.63098959]
banana_278,swissroll_149,RISWIE-PCA,0.03820212812367373,0.0,,0.4423074722290039,0.24361229052321712,[0.03820213]
banana_185,gaussian_mixture_125,Standard Sliced Wasserstein,0.011773836180485978,0.0,,10.594336748123169,4.129403003318423,[0.01177384]
banana_185,gaussian_mixture_125,RISWIE-PCA,0.0016223853445700499,0.0,,1.1451022624969482,13.978218690849905,[0.00162239]
normal_134,torus_6,Standard Sliced Wasserstein,0.012010461807470778,0.0,,5.140755891799927,0.6091152405301609,[0.01201046]
normal_134,torus_6,RISWIE-PCA,0.007127439306402712,0.0,,0.3396422863006592,0.9041661411860753,[0.00712744]
gaussian_mixture_24,torus_91,Standard Sliced Wasserstein,0.00019951077219345837,0.0,,4.795121908187866,4.669282635175762,[0.00019951]
gaussian_mixture_24,torus_91,RISWIE-PCA,3.6482497946782282e-06,0.0,,0.31394410133361816,16.18151966217898,[3.64824979e-06]
swissroll_245,cylinder_211,Standard Sliced Wasserstein,1.5194579829650456,0.0,,5.593421936035156,0.01719455360490174,[1.51945798]
swissroll_245,cylinder_211,RISWIE-PCA,0.010261497411952753,0.0,,0.40539121627807617,0.07728164370378593,[0.0102615]
banana_280,swissroll_3,Standard Sliced Wasserstein,0.7472052808720037,0.0,,7.695305585861206,0.04338225283555339,[0.74720528]
banana_280,swissroll_3,RISWIE-PCA,0.0563835659738894,0.0,,0.40082764625549316,0.24322268888802606,[0.05638357]
gaussian_mixture_137,torus_286,Standard Sliced Wasserstein,0.00018157714183169294,0.0,,6.22675633430481,5.206992856227206,[0.00018158]
gaussian_mixture_137,torus_286,RISWIE-PCA,5.396804893071809e-06,0.0,,0.3970317840576172,18.32847429489746,[5.39680489e-06]
