,banana_{'phase': 0.0},banana_{'phase': 0.2},banana_{'phase': 1.0},cylinder_{'angle': 0.0},cylinder_{'angle': 0.2},cylinder_{'angle': 1.5707963267948966},"normal_{'mean': array([0., 0.])}","normal_{'mean': array([1., 1.])}","normal_{'mean': array([ 2., -2.])}","normal_{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}","normal_{'mean': array([0., 0.]), 'cov': array([[2., 0.],
       [0., 2.]])}","normal_{'mean': array([0., 0.]), 'angle': 0.7853981633974483}",swissroll_{}
banana_{'phase': 0.0},0.00048659339023577583,0.002440063178247127,0.007419822774086352,0.013660928167377528,0.013908829649425252,0.013150052143010285,0.02474010547712937,0.02229852026457965,0.023188248560916003,0.044168141538052784,0.038797138950774905,0.023579020226287647,0.2571091597902372
banana_{'phase': 0.2},0.002440063178247127,0.0008228790893968318,0.0057592821210288615,0.014076069492945292,0.013607684122339621,0.013026787933517555,0.021649583061519637,0.023853049721007696,0.02453464763511978,0.043673205933466575,0.03919174078991379,0.02369309872872568,0.2565995899306411
banana_{'phase': 1.0},0.007419822774086352,0.0057592821210288615,0.009131852883127477,0.015607615536401328,0.015369621375752106,0.015311142111092715,0.02482088887315835,0.024074909372007437,0.023735823912213214,0.0434445091582703,0.03853031505171941,0.024582838759903948,0.2502253673109075
cylinder_{'angle': 0.0},0.013660928167377528,0.014076069492945292,0.015607615536401328,0.0018746870149297617,0.002051766897335582,0.0015762271818574706,0.016360723933279923,0.01616026062606658,0.016304352599131537,0.04305995821763889,0.03290781369198043,0.016465137121548824,0.24711047013453527
cylinder_{'angle': 0.2},0.013908829649425252,0.013607684122339621,0.015369621375752106,0.002051766897335582,0.0017144139512558173,0.0022680303666492356,0.01627656346191024,0.016296138269504188,0.01690263728811023,0.04000121579851723,0.031976010206034286,0.015567566866095155,0.2453333424153662
cylinder_{'angle': 1.5707963267948966},0.013150052143010285,0.013026787933517555,0.015311142111092715,0.0015762271818574706,0.0022680303666492356,0.0020283284629706126,0.015159614046999066,0.014800708109587665,0.016551710914227365,0.04059609913232971,0.032475806364176435,0.016866646750959686,0.24617275596765495
"normal_{'mean': array([0., 0.])}",0.02474010547712937,0.021649583061519637,0.02482088887315835,0.016360723933279923,0.01627656346191024,0.015159614046999066,0.008858344016606796,0.006497772859902839,0.006733874887116468,0.03225524935804364,0.021890945922926352,0.010255066717054102,0.24459277609909263
"normal_{'mean': array([1., 1.])}",0.02229852026457965,0.023853049721007696,0.024074909372007437,0.01616026062606658,0.016296138269504188,0.014800708109587665,0.006497772859902839,0.011130070695810375,0.008985876902244309,0.03248320555969336,0.01914609150090871,0.006521406253921506,0.23917258133632668
"normal_{'mean': array([ 2., -2.])}",0.023188248560916003,0.02453464763511978,0.023735823912213214,0.016304352599131537,0.01690263728811023,0.016551710914227365,0.006733874887116468,0.008985876902244309,0.011959598203285609,0.034022290091224976,0.019145578749687177,0.00912329646043613,0.24736578053103433
"normal_{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",0.044168141538052784,0.043673205933466575,0.0434445091582703,0.04305995821763889,0.04000121579851723,0.04059609913232971,0.03225524935804364,0.03248320555969336,0.034022290091224976,0.04462510758564726,0.04642282627660769,0.046310847758746755,0.23671976802057687
"normal_{'mean': array([0., 0.]), 'cov': array([[2., 0.],
       [0., 2.]])}",0.038797138950774905,0.03919174078991379,0.03853031505171941,0.03290781369198043,0.031976010206034286,0.032475806364176435,0.021890945922926352,0.01914609150090871,0.019145578749687177,0.04642282627660769,0.011673647284151184,0.022872597100839793,0.226733570748355
"normal_{'mean': array([0., 0.]), 'angle': 0.7853981633974483}",0.023579020226287647,0.02369309872872568,0.024582838759903948,0.016465137121548824,0.015567566866095155,0.016866646750959686,0.010255066717054102,0.006521406253921506,0.00912329646043613,0.046310847758746755,0.022872597100839793,0.00887232188758477,0.24064030784565335
swissroll_{},0.2571091597902372,0.2565995899306411,0.2502253673109075,0.24711047013453527,0.2453333424153662,0.24617275596765495,0.24459277609909263,0.23917258133632668,0.24736578053103433,0.23671976802057687,0.226733570748355,0.24064030784565335,0.07237481072542626
