,banana_{'phase': 0.0},banana_{'phase': 0.2},banana_{'phase': 1.0},cylinder_{'angle': 0.0},cylinder_{'angle': 0.2},cylinder_{'angle': 1.5707963267948966},"normal_{'mean': array([0., 0.])}","normal_{'mean': array([1., 1.])}","normal_{'mean': array([ 2., -2.])}","normal_{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}","normal_{'mean': array([0., 0.]), 'cov': array([[2., 0.],
       [0., 2.]])}","normal_{'mean': array([0., 0.]), 'angle': 0.7853981633974483}",swissroll_{}
banana_{'phase': 0.0},0.00010441047054921069,0.03768036995237711,0.18148538095783773,0.37874568258482966,0.37869160653886247,0.3786536436150417,0.5214025288677336,0.5218472961104772,0.5217907995954866,0.9403183246052098,0.8832856970811457,0.5216037853037437,5.740953336546407
banana_{'phase': 0.2},0.03768036995237711,0.00011808731605890604,0.16149558105787964,0.3881980383604847,0.38812505950664195,0.3880464117094343,0.5281631374738558,0.5280378858113303,0.5279583974694091,0.9383360880440775,0.8865515593157639,0.5278671050936267,5.744400327826317
banana_{'phase': 1.0},0.18148538095783773,0.16149558105787964,0.00010940198823250515,0.5162589099666111,0.516218053689873,0.5162309393360139,0.6292714353445806,0.628981144610721,0.6290846194797532,0.9185075878841289,0.9456611719782463,0.6287659438200323,5.741349344391305
cylinder_{'angle': 0.0},0.37874568258482966,0.3881980383604847,0.5162589099666111,0.00034853732587344547,0.00043749245747017653,0.0002222535787653025,0.3432658708211507,0.34315478112740866,0.3431625043981297,0.9181324707501681,0.6903585923973452,0.34328846634946547,5.5497041670237595
cylinder_{'angle': 0.2},0.37869160653886247,0.38812505950664195,0.516218053689873,0.00043749245747017653,0.0004522224744987255,0.00039138251302354803,0.3433046574978737,0.34317923870736006,0.3434865593593904,0.9184699188505934,0.6901347780615222,0.34351293346641165,5.549466550428402
cylinder_{'angle': 1.5707963267948966},0.3786536436150417,0.3880464117094343,0.5162309393360139,0.0002222535787653025,0.00039138251302354803,0.0003060458205643095,0.3434387750339385,0.34358276161581214,0.34310925621169186,0.9181019878877997,0.6899739609141894,0.3432453164944778,5.549190713128984
"normal_{'mean': array([0., 0.])}",0.5214025288677336,0.5281631374738558,0.6292714353445806,0.3432658708211507,0.3433046574978737,0.3434387750339385,0.0006740262523639654,0.000645127899531602,0.0006696203824785105,0.7066629794965329,0.4141812925522884,0.0006187573863014074,5.3804634712226935
"normal_{'mean': array([1., 1.])}",0.5218472961104772,0.5280378858113303,0.628981144610721,0.34315478112740866,0.34317923870736006,0.34358276161581214,0.000645127899531602,0.0007059320715777242,0.0007238028014202085,0.707182222608793,0.41421500049403664,0.0005961535195727155,5.381403725925227
"normal_{'mean': array([ 2., -2.])}",0.5217907995954866,0.5279583974694091,0.6290846194797532,0.3431625043981297,0.3434865593593904,0.34310925621169186,0.0006696203824785105,0.0007238028014202085,0.0007323548542728924,0.7073531661001656,0.4143498433183493,0.0008072176894477282,5.379444161976435
"normal_{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",0.9403183246052098,0.9383360880440775,0.9185075878841289,0.9181324707501681,0.9184699188505934,0.9181019878877997,0.7066629794965329,0.707182222608793,0.7073531661001656,0.0011501657137171642,0.5073545467036149,0.7072006061661883,4.901156805756805
"normal_{'mean': array([0., 0.]), 'cov': array([[2., 0.],
       [0., 2.]])}",0.8832856970811457,0.8865515593157639,0.9456611719782463,0.6903585923973452,0.6901347780615222,0.6899739609141894,0.4141812925522884,0.41421500049403664,0.4143498433183493,0.5073545467036149,0.0009457753643142127,0.4143488311742471,4.982938730497429
"normal_{'mean': array([0., 0.]), 'angle': 0.7853981633974483}",0.5216037853037437,0.5278671050936267,0.6287659438200323,0.34328846634946547,0.34351293346641165,0.3432453164944778,0.0006187573863014074,0.0005961535195727155,0.0008072176894477282,0.7072006061661883,0.4143488311742471,0.0007889713892887775,5.379727007590475
swissroll_{},5.740953336546407,5.744400327826317,5.741349344391305,5.5497041670237595,5.549466550428402,5.549190713128984,5.3804634712226935,5.381403725925227,5.379444161976435,4.901156805756805,4.982938730497429,5.379727007590475,0.001807435570465275
